epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1349.64,0.92866,0.7954,1.37977,0.92564,0.84078,0.90363,0.61253,1.13122,0.78755,1.59618,0.000580174,0.000580174,0.000580174
62,1370.97,0.89713,0.7632,1.33776,0.90787,0.82003,0.89917,0.62699,1.13777,0.79557,1.57641,0.000566027,0.000566027,0.000566027
63,1392.28,0.88279,0.78516,1.33794,0.87731,0.85049,0.89664,0.62542,1.09918,0.78054,1.54904,0.00055188,0.00055188,0.00055188
64,1415.33,0.88338,0.78062,1.32844,0.90844,0.8566,0.88536,0.62448,1.08691,0.74233,1.56389,0.000537733,0.000537733,0.000537733
65,1437.34,0.9128,0.78756,1.3429,0.93354,0.8503,0.8918,0.61885,1.07398,0.75684,1.5278,0.000523586,0.000523586,0.000523586
66,1458.82,0.86129,0.74234,1.31812,0.87909,0.8293,0.8929,0.62919,1.07793,0.75394,1.54572,0.000509438,0.000509438,0.000509438
67,1481.21,0.87263,0.78561,1.32309,0.91415,0.83215,0.88984,0.62562,1.0893,0.77945,1.55342,0.000495291,0.000495291,0.000495291
68,1503.66,0.86833,0.73348,1.31611,0.87229,0.87729,0.89411,0.59747,1.17745,0.80128,1.62172,0.000481144,0.000481144,0.000481144
69,1524.78,0.86714,0.75299,1.31602,0.8641,0.87152,0.90827,0.65791,1.03082,0.72561,1.48154,0.000466997,0.000466997,0.000466997
70,1546.88,0.85094,0.73234,1.3252,0.90152,0.84252,0.90276,0.63476,1.07993,0.71244,1.53028,0.00045285,0.00045285,0.00045285
71,1569.61,0.86877,0.73635,1.3221,0.92637,0.85025,0.9027,0.64694,1.03862,0.70295,1.49655,0.000438703,0.000438703,0.000438703
72,1590.83,0.86346,0.71133,1.30993,0.90727,0.85767,0.90939,0.64258,1.08255,0.73104,1.5311,0.000424556,0.000424556,0.000424556
73,1612.66,0.85361,0.71038,1.30433,0.86691,0.87093,0.91171,0.6316,1.08959,0.72239,1.5468,0.000410409,0.000410409,0.000410409
74,1635.52,0.82201,0.68224,1.29172,0.86568,0.88349,0.90383,0.63863,1.07736,0.72113,1.51487,0.000396262,0.000396262,0.000396262
75,1656.94,0.85301,0.67297,1.29985,0.923,0.8494,0.91155,0.64527,1.06118,0.68963,1.49449,0.000382115,0.000382115,0.000382115
76,1678.9,0.84917,0.72613,1.30038,0.92022,0.89527,0.92068,0.6703,1.02594,0.66141,1.47004,0.000367967,0.000367967,0.000367967
77,1702.12,0.8191,0.68125,1.28122,0.90081,0.88771,0.91795,0.65314,1.05968,0.68253,1.49935,0.00035382,0.00035382,0.00035382
78,1723.46,0.79774,0.66153,1.27673,0.90496,0.89189,0.91103,0.66042,1.01523,0.65725,1.47042,0.000339673,0.000339673,0.000339673
79,1745.03,0.82894,0.68732,1.28661,0.90647,0.87296,0.92901,0.66206,1.045,0.66471,1.49109,0.000325526,0.000325526,0.000325526
80,1768.16,0.81699,0.6723,1.27731,0.91012,0.86832,0.91256,0.64458,1.06154,0.68515,1.50127,0.000311379,0.000311379,0.000311379
81,1789.67,0.7961,0.64298,1.2619,0.91809,0.85617,0.91139,0.64105,1.07837,0.7204,1.52165,0.000297232,0.000297232,0.000297232
82,1811.2,0.82548,0.65162,1.27525,0.89875,0.89134,0.91859,0.66496,1.02709,0.62632,1.47402,0.000283085,0.000283085,0.000283085
83,1834.31,0.80681,0.6543,1.26496,0.92582,0.87665,0.91887,0.67997,0.99616,0.64194,1.44382,0.000268938,0.000268938,0.000268938
84,1856.47,0.80624,0.65098,1.26432,0.9227,0.88044,0.92779,0.66643,1.04328,0.65226,1.47524,0.000254791,0.000254791,0.000254791
85,1877.9,0.80131,0.62791,1.26944,0.89793,0.88327,0.92263,0.66147,1.03291,0.66541,1.46009,0.000240644,0.000240644,0.000240644
86,1900.82,0.76904,0.62019,1.23939,0.92936,0.89893,0.92981,0.67583,1.03295,0.61515,1.45794,0.000226497,0.000226497,0.000226497
87,1922.44,0.77898,0.63203,1.24837,0.93186,0.88706,0.92965,0.67896,1.0325,0.63606,1.47057,0.000212349,0.000212349,0.000212349
88,1943.53,0.77089,0.61065,1.25783,0.92236,0.89338,0.92459,0.67989,1.00764,0.63713,1.45236,0.000198202,0.000198202,0.000198202
89,1966.55,0.77093,0.60251,1.24845,0.94851,0.90111,0.93929,0.69051,0.98412,0.59047,1.43907,0.000184055,0.000184055,0.000184055
90,1988.11,0.76663,0.60251,1.25264,0.92542,0.90145,0.92752,0.66803,1.04687,0.63166,1.46989,0.000169908,0.000169908,0.000169908
91,2010.46,0.71071,0.48093,1.30055,0.95381,0.87475,0.93386,0.67125,1.0221,0.60328,1.47753,0.000155761,0.000155761,0.000155761
92,2033.24,0.66509,0.44096,1.24651,0.92849,0.88026,0.92364,0.67246,1.01383,0.6197,1.4666,0.000141614,0.000141614,0.000141614
93,2053.9,0.66343,0.42322,1.23853,0.92205,0.89293,0.93121,0.68273,1.00226,0.62987,1.45338,0.000127467,0.000127467,0.000127467
94,2074.79,0.65168,0.38751,1.24055,0.90686,0.90443,0.92852,0.68877,0.9822,0.61616,1.44036,0.00011332,0.00011332,0.00011332
95,2096.67,0.63746,0.38414,1.22713,0.89117,0.89819,0.92586,0.69365,0.98645,0.60758,1.43453,9.91726e-05,9.91726e-05,9.91726e-05
96,2118.84,0.65103,0.40085,1.24986,0.90015,0.91145,0.92888,0.6915,0.99074,0.59927,1.44111,8.50255e-05,8.50255e-05,8.50255e-05
97,2139.94,0.6289,0.37948,1.21286,0.91346,0.9014,0.92951,0.69649,0.98953,0.59192,1.43588,7.08784e-05,7.08784e-05,7.08784e-05
98,2161.17,0.64056,0.38602,1.23286,0.93957,0.88855,0.9295,0.69989,0.96938,0.58968,1.4161,5.67313e-05,5.67313e-05,5.67313e-05
99,2183.58,0.61864,0.3789,1.21145,0.9374,0.88081,0.92788,0.69967,0.97897,0.58622,1.4168,4.25842e-05,4.25842e-05,4.25842e-05
100,2205.36,0.60732,0.37312,1.19372,0.93852,0.8857,0.93073,0.69857,0.9626,0.5815,1.4071,2.84371e-05,2.84371e-05,2.84371e-05
